,date_&_time,country,region,category,website,distance,climb,venue,grid_reference,skills,minimum_age,age_info,entry_on_day,pre-entry,pre-entry_fee_(members),pre-entry_fee_(non-members),race_organiser,teams_allowed,male_record,female_record,junior_races,permit_/_insurance,race_url,title,pre-entry_fee,entry_on_day_fee_(members),entry_on_day_fee_(non-members),start_time_info,entry_on_day_fee,date,postcode,latitude,longitude,datetime,month
0,Sat 5 Feb 2022 at 10:00,England,South/West Pennines,BL,http://CVFR.CO.UK,31 km / 19.3 miles,1110 m / 3642 ft,"OLD TOWN CRICKET CLUB, HEBDEN BRIDGE, HX7 8SW",GR SD 998285,"ER, PM, NS",18,OVER 18,No,Yes,£15.00,£17.00,Nicki Latham,Yes,Karl Gray - 02:27:24 - 2015,Nichola Jackson - 02:51:26 - 2017,No,Yes,https://races.fellrunner.org.uk/races/28aab80e-160c-4f20-835d-8e0e2d35af4f,Sat 5 Feb 2022 — Wadsworth Trog,,,,,,,HX7 8SW,53.75165,-2.003134,2022-02-05 10:00:00,February
1,Sun 6 Feb 2022 at 10:00,England,Midlands,CL,http://www.bowlineclimbingclub.co.uk,21.5 km / 13.4 miles,366 m / 1201 ft,"Martin High School, Link Road, Anstey, Leicester, LE7 7EB.",547093,PM,18,,No,Yes,,,Zoe Pickering,Yes,T Hartley - 01:30:29 - 2015,E Ault - 01:41:21 - 2015,No,Yes,https://races.fellrunner.org.uk/races/6ab0ccd2-dc1a-49e3-b5ad-fa256b4c7666,Sun 6 Feb 2022 — Charnwood Hills,£17.00,,,,,,LE7 7EB,52.67801,-1.19126,2022-02-06 10:00:00,February
2,Sun 6 Feb 2022 at 11:00,England,Peak District,AS,https://events360.co.uk/ladsleap/,9.5 km / 5.9 miles,518 m / 1699 ft,"Crowden Campsite, nr Woodhead, off A628., SK13 1HZ",073993,"ER, PM, LK",16,,Yes,Yes,£7.00,£8.00,Des Gibbons,Yes,L. Taggart - 00:41:36 - 2005,N. White - 00:50:46 - 2005,No,Yes,https://races.fellrunner.org.uk/races/3c6dcb83-5dc7-4519-81f5-788bde84713f,Sun 6 Feb 2022 — Alan Kirk Memorial Lad's Leap,,£9.00,£10.00,,,,SK13 1HZ,53.490444,-1.893691,2022-02-06 11:00:00,February
3,Sat 19 Feb 2022 at 11:00,England,Lake District,AS,http://www.kongrunning.com,8 km / 5 miles,460 m / 1509 ft,Register at Kong Adventure CA12 5EZ- starts bottom of Spooney green lane.,,PM,16,,No,Yes,,,Lou Osborn,Yes,C Bell - 00:28:52 - 2019,S Adkin - 00:34:39 - 2020,No,Yes,https://races.fellrunner.org.uk/races/ec861782-83ea-4fde-800b-59116893f132,"Sat 19 Feb 2022 — Loopy Latrigg, Kong Winter Series 5",£10.00,,,,,,CA12 5EZ,54.600707,-3.139597,2022-02-19 11:00:00,February
4,Sat 19 Feb 2022 at 11:15,England,South/West Pennines,AM,http://www.todharriers.co.uk/flower-scar-fell-race/,12 km / 7.5 miles,610 m / 2001 ft,"Todmorden Cricket Club, Centre Vale, OL14 7BS",934245,"ER, PM, LK, NS",18,,Yes,No,,,Ricky Parrish,Yes,A Worster - 01:07:11 - 2017,H Page - 01:18:50 - 2018,Yes,Yes,https://races.fellrunner.org.uk/races/14e58375-97a4-4fd2-8a24-eb8aae808d0b,Sat 19 Feb 2022 — Flower Scar,,£5.00,,10:45am Early Start for anyone who is expecting to be in the bottom 20% of the field. 1:15pm cut off at CP 6,,,OL14 7BS,53.716576,-2.098453,2022-02-19 11:15:00,February
5,Sat 19 Feb 2022 at 13:00,England,Bowland/NW Lancs.,BS,https://bowlandfr.org.uk/,8 km / 5 miles,381 m / 1250 ft,"Bleasdale Parish Hall, PR3 1UY., PR3 1UY",SD574453,"ER, PM",18,,Yes,Yes,,,David Littler,Yes,C Arthur - 00:34:56 - 2017,L Brindle - 00:40:49 - 2019,No,Yes,https://races.fellrunner.org.uk/races/6c9d17ac-6148-46ae-8968-ed23a1777e7f,Sat 19 Feb 2022 — Bleasdale Circle,£5.00,,,,£5.00,,PR3 1UY,53.907088,-2.661943,2022-02-19 13:00:00,February
6,Sun 20 Feb 2022 at 11:00,England,North York Moors,BM,http://www.eskvalleyfellclub.org,11.2 km / 7 miles,330 m / 1083 ft,"Maybeck Car Park, nr Whitby, N Yorks, YO22 5JE",NZ 892 024,"PM, LK, NS",18,,Yes,No,,,David Parke,Yes,L Roberts - 00:47:50 - 2014,C Williamson - 00:54:16 - 2019,No,Yes,https://races.fellrunner.org.uk/races/fcfed6ff-ce82-4f60-9efc-8f5fd48a5e61,Sun 20 Feb 2022 — Maybeck 3 Crosses,,£6.00,£7.00,,,,YO22 5JE,54.417074,-0.619607,2022-02-20 11:00:00,February
7,Sun 20 Feb 2022 at 11:00,England,Peak District,AL,https://events360.co.uk/doctorsgate/,20.5 km / 12.7 miles,860 m / 2822 ft,"Queens Arms, 1 Shepley Street, Glossop, SK13 7RZ",,"ER, PM, LK, NS",18,,Yes,Yes,£10.00,£11.00,Des Gibbons,Yes,R James - 01:40:59 - 2019,H Thornhill - 02:01:19 - 2019,No,Yes,https://races.fellrunner.org.uk/races/1885f8ca-73b0-4860-ac31-d1d4df01e8cb,Sun 20 Feb 2022 — Doctors Gate,,£13.00,£15.00,,,,SK13 7RZ,53.449728,-1.936582,2022-02-20 11:00:00,February
8,Sun 20 Feb 2022 at 11:00,England,South/West Pennines,BS,http://www.cvfr.co.uk,8 km / 5 miles,381 m / 1250 ft,"Booth Cricket Club, Booth, Halifax., HX2 6TW",SE040271,"ER, PM, LK, NS",16,,No,Yes,£5.00,£6.50,Robert Howard,Yes,K Gray - 00:36:39 - 2011,J McIver - 00:43:20 - 2007,No,Yes,https://races.fellrunner.org.uk/races/eff958bd-7be9-4f06-b9ad-ea8a144fb206,Sun 20 Feb 2022 — Midgley Moor,,,,,,,HX2 6TW,53.742084,-1.942258,2022-02-20 11:00:00,February
9,Sun 20 Feb 2022 at 13:00,England,Lake District,BS,https://www.helmhill.co.uk/index.php/races/kendal-winter-league/sallows,9 km / 5.6 miles,401 m / 1316 ft,"Waterford Bridge, Kentmere,, LA8 9JJ",NY 455020,,16,,Yes,No,,,Tim Murray,No,,,Yes,Yes,https://races.fellrunner.org.uk/races/17eb4249-0328-4dd2-a901-fb30df9649ba,Sun 20 Feb 2022 — Sallows,,,,,£5.00,,LA8 9JJ,54.413262,-2.836918,2022-02-20 13:00:00,February
